# doc/agent-profile-v1.tsv -- frozen effective profile for normal-ascii-color-v1 / llm-final-v1
# Generated by test/agent/gen_profile.py from include/optlist.h.  Do not hand-edit; edit the generator.
# "this build" = the standard Linux configuration present in include/config.h (sys/unix/hints/linux.500).
# The strict agent-only build additionally defines NOTTYGRAPHICS, which removes the TTY_GRAPHICS-only rows below.
#
# Columns: name <TAB> availability/build guard <TAB> resolved startup value <TAB> classification <TAB> setter/handler entry point <TAB> saved-field binding <TAB> rationale
# classification: locked-presentation | locked-gameplay | unavailable-external | char-field
# value: the resolved startup value: 'on'/'off' for booleans, the native default for compound options, or 'x (override)' when the profile overrides it
# runtime mutation allowlist is EMPTY; every row is read-only at runtime
#
# == options (one row per active optlist.h entry) ==
windowtype	always	agent (override)	locked-presentation	set_gameview	-	port locked to agent at bootstrap
playmode	always	normal (override)	locked-gameplay	set_gameview	-	normal play only; debug/explore rejected
name	always	(adapter / allowlisted startup data)	char-field	set_gameview	-	character name via allowlisted startup data
role	always	(adapter / allowlisted startup data)	char-field	set_gameview	-	starting role via ordinary callbacks/startup data
race	always	(adapter / allowlisted startup data)	char-field	set_gameview	-	starting race via ordinary callbacks/startup data
gender	always	(adapter / allowlisted startup data)	char-field	set_gameview	-	starting gender via ordinary callbacks/startup data
alignment	always	(adapter / allowlisted startup data)	char-field	set_gameview	-	starting alignment via callbacks/startup data
accessiblemsg	always	off	locked-presentation	set_in_game	&a11y.accessiblemsg	compiled default pinned
acoustics	always	on	locked-gameplay	set_in_game	&flags.acoustics	compiled default pinned
align_message	always	top (native default)	locked-presentation	set_gameview	-	window alignment not advertised
align_status	always	bottom (native default)	locked-presentation	set_gameview	-	window alignment not advertised
altkeyhandling	else_ifdef WIN32	-	unavailable-external	set_in_config	-	not applicable on this platform
altmeta	ifdef ALTMETA	off (override)	locked-gameplay	set_in_game	&iflags.altmeta	alternate-meta ambiguity disabled
armorstatus	always	off (override)	locked-presentation	set_in_game	&flags.armorstatus	optional status field off
ascii_map	always	on (override)	locked-presentation	set_in_game	&iflags.wc_ascii_map	ASCII map is the only map
autocompletions	always	n/a (action)	unavailable-external	set_in_game	-	editor hook; no user editing
autodescribe	always	on	locked-presentation	set_in_game	&iflags.autodescribe	compiled default pinned
autodig	always	off	locked-gameplay	set_in_game	&flags.autodig	compiled default pinned
autoopen	always	on	locked-gameplay	set_in_game	&flags.autoopen	compiled default pinned
autopickup	always	off	locked-gameplay	set_in_game	&flags.pickup	compiled default pinned
autopickup exceptions	always	n/a (action)	unavailable-external	set_in_game	-	editor hook; no user editing
autoquiver	always	off	locked-gameplay	set_in_game	&flags.autoquiver	compiled default pinned
autounlock	always	apply-key (AUTOUNLOCK_APPLY_KEY)	locked-gameplay	set_in_game	-	compiled default pinned
bgcolors	always	off (override)	locked-presentation	set_in_game	&iflags.bgcolors	background terrain layer disabled
bind keys	always	n/a (action)	unavailable-external	set_in_game	-	runtime key rebinding denied
BIOS	else_if defined(MICRO) && !defined(AMIGA)	off	unavailable-external	set_in_config	-	platform facility absent
blind	always	off	locked-gameplay	set_in_config	&u.uroleplay.blind	role-play extra pinned at default
bones	always	off (override)	locked-gameplay	set_in_config	&flags.bones	no cross-episode bones
boulder	ifdef BACKWARD_COMPAT	(none; deprecated alias)	locked-gameplay	set_in_game	-	deprecated alias; no effect
catname	always	(empty)	locked-gameplay	set_gameview	-	pet name is not an allowlisted startup field; pinned at its default
checkpoint	ifdef INSURANCE	on	locked-gameplay	set_in_game	&flags.ins_chkpt	private crash recovery; not agent-visible
cmdassist	always	on	locked-gameplay	set_in_game	&iflags.cmdassist	compiled default pinned
color	always	on (override)	locked-presentation	set_in_game	&iflags.wc_color	color on
confirm	always	on	locked-gameplay	set_in_game	&flags.confirm	compiled default pinned
crash_email	ifdef CRASHREPORT	-	unavailable-external	set_in_game	-	external reporting facility
crash_name	ifdef CRASHREPORT	-	unavailable-external	set_in_game	-	external reporting facility
crash_urlmax	ifdef CRASHREPORT	-	unavailable-external	set_in_game	-	external reporting facility
cursesgraphics	ifdef CURSES_GRAPHICS	-	unavailable-external	set_in_config	-	curses symset loading not compiled; guard inactive in this build
customcolors	always	off (override)	locked-presentation	set_in_game	&iflags.customcolors	no custom colors
customsymbols	always	off (override)	locked-presentation	set_in_game	&iflags.customsymbols	no unicode symbol replacement
dark_room	always	on	locked-presentation	set_in_game	&flags.dark_room	map display rule pinned
deaf	always	off	locked-gameplay	set_in_config	&u.uroleplay.deaf	role-play extra pinned at default
DECgraphics	ifdef BACKWARD_COMPAT	-	unavailable-external	set_in_config	-	symset loading disabled
debug_hunger	always	off	unavailable-external	set_wiznofuz	&iflags.debug_hunger	wizard/fuzzer only
debug_mongen	always	off	unavailable-external	set_wiznofuz	&iflags.debug_mongen	wizard/fuzzer only
debug_overwrite_stairs	always	off	unavailable-external	set_wiznofuz	&iflags.debug_overwrite_stairs	wizard/fuzzer only
disclose	always	prompt, default no: inventory/attributes/vanquished/genocided/conduct/overview	locked-gameplay	set_in_game	-	compiled default pinned
dogname	always	(empty)	locked-gameplay	set_gameview	-	pet name is not an allowlisted startup field; pinned at its default
dropped_nopick	always	on	locked-gameplay	set_in_game	&flags.nopick_dropped	compiled default pinned
dungeon	always	(built-in default symbol set)	locked-presentation	set_in_config	-	dungeon symbol set pinned
effects	always	(built-in default symbol set)	locked-presentation	set_in_config	-	effect symbol set pinned
eight_bit_tty	always	off	locked-presentation	set_in_game	&iflags.wc_eight_bit_input	WC_EIGHT_BIT_IN capability advertised
extmenu	always	off	locked-presentation	set_in_game	&iflags.extmenu	compiled default pinned
female	always	off	char-field	set_in_config	&flags.female	deprecated alias for gender
fireassist	always	on	locked-gameplay	set_in_game	&iflags.fireassist	compiled default pinned
fixinv	always	on	locked-gameplay	set_in_game	&flags.invlet_constant	compiled default pinned
font_map	always	-	unavailable-external	set_gameview	-	no font facility
font_menu	always	-	unavailable-external	set_gameview	-	no font facility
font_message	always	-	unavailable-external	set_gameview	-	no font facility
font_size_map	always	-	unavailable-external	set_gameview	-	no font facility
font_size_menu	always	-	unavailable-external	set_gameview	-	no font facility
font_size_message	always	-	unavailable-external	set_gameview	-	no font facility
font_size_status	always	-	unavailable-external	set_gameview	-	no font facility
font_size_text	always	-	unavailable-external	set_gameview	-	no font facility
font_status	always	-	unavailable-external	set_gameview	-	no font facility
font_text	always	-	unavailable-external	set_gameview	-	no font facility
force_invmenu	always	off	locked-presentation	set_in_game	&iflags.force_invmenu	compiled default pinned
fruit	always	slime mold	locked-gameplay	set_in_game	-	compiled default pinned
fullscreen	always	off	locked-presentation	set_in_config	&iflags.wc2_fullscreen	WC2_FULLSCREEN not advertised
glyph	always	-	unavailable-external	set_in_game	-	unicode glyph handler disabled
goldX	always	off	locked-gameplay	set_in_game	&flags.goldX	compiled default pinned
guicolor	always	on	locked-presentation	set_in_game	&iflags.wc2_guicolor	UI color capability not advertised
help	always	on	locked-gameplay	set_in_game	&flags.help	compiled default pinned
herecmd_menu	always	off	locked-presentation	set_in_game	&iflags.herecmd_menu	compiled default pinned
hicolor	if 0 & if defined(MAC68K)	-	unavailable-external	set_in_config	-	compiled out (obsolete platform); guard inactive in this build
hilite_pet	always	on (override)	locked-presentation	set_in_game	&iflags.wc_hilite_pet	pet highlighting on
hilite_pile	always	on (override)	locked-presentation	set_in_game	&iflags.hilite_pile	pile highlighting on
hilite_status	ifdef STATUS_HILITES	(empty rule set; status highlighting off)	locked-presentation	set_in_game	-	configurable status highlighting off; the compiled default is already an empty rule set
hitpointbar	always	off (override)	locked-presentation	set_in_game	&iflags.wc2_hitpointbar	hit-point bar off
horsename	always	(empty)	locked-gameplay	set_gameview	-	pet name is not an allowlisted startup field; pinned at its default
IBMgraphics	ifdef BACKWARD_COMPAT	-	unavailable-external	set_in_config	-	symset loading disabled
idlecheckpoint	always	off	locked-gameplay	set_in_game	&iflags.idlecheckpoint	compiled default pinned
ignintr	ifndef MAC68K	off	locked-gameplay	set_in_game	&flags.ignintr	compiled default pinned
implicit_uncursed	always	on	locked-gameplay	set_in_game	&flags.implicit_uncursed	compiled default pinned
large_font	if 0	off	unavailable-external	set_in_config	&iflags.obsolete	compiled out (obsolete platform); guard inactive in this build
legacy	always	on	locked-presentation	set_in_config	&flags.legacy	introductory message pinned
lit_corridor	always	off	locked-gameplay	set_in_game	&flags.lit_corridor	compiled default pinned
lootabc	always	off	locked-gameplay	set_in_game	&flags.lootabc	compiled default pinned
mail	always	off (override)	unavailable-external	set_in_game	&flags.biff	mail daemon disabled
map_mode	always	-	unavailable-external	set_gameview	-	platform facility absent
mention_decor	always	off	locked-gameplay	set_in_game	&flags.mention_decor	compiled default pinned
mention_map	always	off	locked-presentation	set_in_game	&a11y.glyph_updates	accessibility message pinned
mention_walls	always	off	locked-gameplay	set_in_game	&flags.mention_walls	compiled default pinned
menu_deselect_all	always	key '-' (MENU_UNSELECT_ALL)	locked-presentation	set_in_config	-	menu key binding pinned
menu_deselect_page	always	key '\' (MENU_UNSELECT_PAGE)	locked-presentation	set_in_config	-	menu key binding pinned
menu_first_page	always	key '^' (MENU_FIRST_PAGE)	locked-presentation	set_in_config	-	menu key binding pinned
menu_headings	always	inverse (ATR_INVERSE, NO_COLOR)	locked-presentation	set_in_game	-	menu heading style pinned
menu_invert_all	always	key '@' (MENU_INVERT_ALL)	locked-presentation	set_in_config	-	menu key binding pinned
menu_invert_page	always	key '~' (MENU_INVERT_PAGE)	locked-presentation	set_in_config	-	menu key binding pinned
menu_last_page	always	key '|' (MENU_LAST_PAGE)	locked-presentation	set_in_config	-	menu key binding pinned
menu_next_page	always	key '>' (MENU_NEXT_PAGE)	locked-presentation	set_in_config	-	menu key binding pinned
menu_objsyms	always	off	locked-presentation	set_in_game	-	menu icon rule pinned
menu_overlay	ifdef TTY_GRAPHICS	on	locked-presentation	set_in_game	&iflags.menu_overlay	tty-only menu geometry; absent in agent-only
menu_previous_page	always	key '<' (MENU_PREVIOUS_PAGE)	locked-presentation	set_in_config	-	menu key binding pinned
menu_search	always	key ':' (MENU_SEARCH)	locked-presentation	set_in_config	-	menu key binding pinned
menu_select_all	always	key '.' (MENU_SELECT_ALL)	locked-presentation	set_in_config	-	menu key binding pinned
menu_select_page	always	key ',' (MENU_SELECT_PAGE)	locked-presentation	set_in_config	-	menu key binding pinned
menu_shift_left	always	key '{' (MENU_SHIFT_LEFT)	locked-presentation	set_in_config	-	menu key binding pinned
menu_shift_right	always	key '}' (MENU_SHIFT_RIGHT)	locked-presentation	set_in_config	-	menu key binding pinned
menu_tab_sep	always	off	unavailable-external	set_wizonly	&iflags.menu_tab_sep	wizard-only menu formatting
menucolors	always	off (override)	locked-presentation	set_in_game	&iflags.use_menu_color	menu colors off
menu colors	always	n/a (action)	unavailable-external	set_in_game	-	menu color editing denied
menuinvertmode	always	1 (native default)	locked-presentation	set_in_game	-	compiled default pinned
menustyle	always	full (MENU_FULL)	locked-presentation	set_in_game	-	compiled default pinned
message types	always	n/a (action)	unavailable-external	set_in_game	-	message handler configuration denied
mon_movement	always	off	locked-presentation	set_in_game	&a11y.mon_movement	accessibility message pinned
monpolycontrol	always	off	unavailable-external	set_wizonly	&iflags.mon_polycontrol	wizard-only
montelecontrol	always	off	unavailable-external	set_wizonly	&iflags.mon_telecontrol	wizard-only
monsters	always	(built-in default symbol set)	locked-presentation	set_in_config	-	monster symbol set pinned
mouse_support	always	-	unavailable-external	set_in_game	-	mouse input not advertised
msg_window	else_if PREV_MSGS	single (iflags.prevmsg_window = 's')	unavailable-external	set_in_config	-	not applicable without tty history
msghistory	always	20 (iflags.msg_history)	locked-presentation	set_gameview	-	history depth pinned
news	ifdef NEWS	off	locked-presentation	set_in_config	&iflags.news	compiled default pinned
nudist	always	off	locked-gameplay	set_in_config	&u.uroleplay.nudist	role-play extra pinned at default
null	always	on	locked-presentation	set_in_game	&flags.null	compiled default pinned
number_pad	always	0 (override)	locked-presentation	set_in_game	-	standard native bindings; number_pad off (native 0)
objects	always	(built-in default symbol set)	locked-presentation	set_in_config	-	object symbol set pinned
packorder	always	$)"[%?+!=/(*`0_ (flags.inv_order = def_inv_order)	locked-gameplay	set_in_game	-	compiled default pinned
palette	ifdef CHANGE_COLOR & ifndef MAC68K	-	unavailable-external	set_gameview	-	color mutation denied
paranoid_confirmation	always	pray+swim+trap (PARANOID_PRAY|SWIM|TRAP)	locked-gameplay	set_in_game	-	compiled default pinned
pauper	always	off	locked-gameplay	set_in_config	&u.uroleplay.pauper	role-play extra pinned at default
perm_invent	always	off (override)	locked-presentation	set_in_game	&iflags.perm_invent	no permanent inventory
perminv_mode	always	none (permanent inventory off)	locked-presentation	set_in_game	-	no permanent inventory
petattr	always	inverse (ATR_INVERSE)	locked-presentation	set_in_game	-	pet attribute inverse
pettype	always	random (no preference)	locked-gameplay	set_gameview	-	pet type is not an allowlisted startup field; pinned at its native default (random)
pickup_burden	always	stressed (MOD_ENCUMBER)	locked-gameplay	set_in_game	-	compiled default pinned
pickup_stolen	always	on	locked-gameplay	set_in_game	&flags.pickup_stolen	compiled default pinned
pickup_thrown	always	on	locked-gameplay	set_in_game	&flags.pickup_thrown	compiled default pinned
pickup_types	always	all (empty list)	locked-gameplay	set_in_game	-	compiled default pinned
pile_limit	always	5 (PILE_LIMIT_DFLT)	locked-gameplay	set_in_game	-	compiled default pinned
player_selection	always	dialog (VIA_DIALOG)	locked-presentation	set_gameview	-	native presentation allowed
popup_dialog	always	off	locked-presentation	set_in_game	&iflags.wc_popup_dialog	popup dialog capability not advertised
preload_tiles	always	off (override)	unavailable-external	set_in_config	&iflags.wc_preload_tiles	tiles disabled
price_quotes	always	off	locked-gameplay	set_in_game	&iflags.pricequotes	compiled default pinned
